"Tid","Ridge","Lasso","BestSubset"
"2 måneder",1056.83421333166,1030.2321703042,1452.71242432619
"10 dage",593.744998940281,553.367415822639,1515.57996489796
"7 dage",346.532896335114,307.911903540193,1330.26337538904
"3 dage",196.969761102007,170.073111876889,480.865132676025
