"Rnd","Dato","Kamp","Res","Tilskuere","Dommer","___7","Season","Modstander","mean_tilskuere","kategori","mean_tilskuere_saeson","VFF_mal","Modstander_mal","VFF_mal_kampen_foer"
"16","2022-11-06","VFF - AGF","1 - 1","7399","J~A,rgen Daugbjerg","","2022/2023","AGF","4917.59375","A","6439.375","1","1","0"
"18","2023-02-20","VFF - FCM","0 - 4","7218","Jacob Karlsen","","2022/2023","FCM","5296.05263157895","A","6439.375","0","4","1"
"20","2023-03-05","VFF - RFC","2 - 2","5923","Jakob Kehlet","","2022/2023","RFC","5100.875","A","6439.375","2","2","0"
"21","2023-03-12","VFF - FCN","1 - 1","5934","J~A,rgen Daugbjerg","","2022/2023","FCN","4216.44444444444","B","6439.375","1","1","2"
"24","2023-04-09","VFF - AGF","0 - 1","7533","Aydin Uslu","","2022/2023","AGF","4917.59375","A","6439.375","0","1","1"
"26","2023-04-23","VFF - FCN","1 - 0","5966","J~A,rgen Daugbjerg","","2022/2023","FCN","4216.44444444444","B","6439.375","1","0","0"
"27","2023-04-30","VFF - RFC","3 - 1","6542","Jonas Hansen","","2022/2023","RFC","5100.875","A","6439.375","3","1","1"
"30","2023-05-21","VFF - BIF","1 - 1","9342","Peter Kj~A|rsgaard","","2022/2023","BIF","6615.14285714286","A","6439.375","1","1","3"
"31","2023-05-29","VFF - FCK","1 - 2","9523","Morten Krogh","","2022/2023","FCK","5108.32142857143","A","6439.375","1","2","1"
"2","2023-07-28","VFF - LBK","2 - 2","4485","Lasse L~A|bel Graagaard","","2023/2024","LBK","2988.52941176471","D","6370.6875","2","2","1"
"4","2023-08-14","VFF - HIF","0 - 0","6141","Peter Kj~A|rsgaard","","2023/2024","HIF","4336.33333333333","B","6370.6875","0","0","2"
"5","2023-08-21","VFF - VB","2 - 1","6010","Jakob Kehlet","","2023/2024","VB","3865.8","B","6370.6875","2","1","0"
"8","2023-09-15","VFF - FCM","2 - 2","8663","Aydin Uslu","","2023/2024","FCM","5296.05263157895","A","6370.6875","2","2","2"
"10","2023-10-01","VFF - AGF","2 - 1","7244","Jacob Karlsen","","2023/2024","AGF","4917.59375","A","6370.6875","2","1","2"
"12","2023-10-22","VFF - FCN","0 - 2","5354","Morten Krogh","","2023/2024","FCN","4216.44444444444","B","6370.6875","0","2","2"
"14","2023-11-05","VFF - SIF","2 - 1","5650","Lasse L~A|bel Graagaard","","2023/2024","SIF","3875.15384615385","B","6370.6875","2","1","0"
"16","2023-11-25","VFF - FCK","2 - 1","6661","Jakob Kehlet","","2023/2024","FCK","5108.32142857143","A","6370.6875","2","1","2"
"18","2024-02-16","VFF - OB","1 - 2","5774","Jens Maae","","2023/2024","OB","3524.21739130435","C","6370.6875","1","2","2"
"20","2024-03-03","VFF - RFC","3 - 0","6557","Antoniou Menelaos","","2023/2024","RFC","5100.875","A","6370.6875","3","0","1"
"21","2024-03-10","VFF - BIF","1 - 2","7876","Mikkel Redder","","2023/2024","BIF","6615.14285714286","A","6370.6875","1","2","3"
"23","2024-03-31","VFF - HIF","3 - 1","5405","Peter Kj~A|rsgaard","","2023/2024","HIF","4336.33333333333","B","6370.6875","3","1","1"
"26","2024-04-21","VFF - LBK","2 - 1","6713","Jakob Kehlet","","2023/2024","LBK","2988.52941176471","D","6370.6875","2","1","3"
"27","2024-04-28","VFF - RFC","0 - 0","6826","Jacob Karlsen","","2023/2024","RFC","5100.875","A","6370.6875","0","0","2"
"29","2024-05-12","VFF - VB","1 - 2","6107","J~A,rgen Daugbjerg","","2023/2024","VB","3865.8","B","6370.6875","1","2","0"
"32","2024-05-25","VFF - OB","2 - 1","6465","Jacob Karlsen","","2023/2024","OB","3524.21739130435","C","6370.6875","2","1","1"
"1","2024-07-21","VFF - BIF","3 - 3","7658","Lasse L~A|bel Graagaard","","2024/2025","BIF","6615.14285714286","A","6456.8125","3","3","2"
"4","2024-08-12","VFF - AaB","2 - 3","6852","Mads Kristoffersen","","2024/2025","AaB","4740.37931034483","A","6456.8125","2","3","3"
"6","2024-08-26","VFF - LBK","1 - 0","5816","Jakob Kehlet","","2024/2025","LBK","2988.52941176471","D","6456.8125","1","0","2"
"9","2024-09-20","VFF - FCN","3 - 2","6290","Sandi Putros","","2024/2025","FCN","4216.44444444444","B","6456.8125","3","2","1"
"11","2024-10-06","VFF - AGF","1 - 1","8351","Mikkel Redder","","2024/2025","AGF","4917.59375","A","6456.8125","1","1","3"
"13","2024-10-27","VFF - SJF","4 - 2","6227","Aydin Uslu","","2024/2025","SJF","3854.41666666667","C","6456.8125","4","2","1"
"15","2024-11-10","VFF - FCM","1 - 0","8513","Sandi Putros","","2024/2025","FCM","5296.05263157895","A","6456.8125","1","0","4"
"17","2024-12-01","VFF - RFC","1 - 2","5681","Jens Maae","","2024/2025","RFC","5100.875","A","6456.8125","1","2","1"
"19","2025-02-24","VFF - SIF","1 - 4","5208","Michael Tykgaard","","2024/2025","SIF","3875.15384615385","B","6456.8125","1","4","1"
"20","2025-03-02","VFF - VB","3 - 1","5346","Mikkel Redder","","2024/2025","VB","3865.8","B","6456.8125","3","1","1"
"22","2025-03-16","VFF - FCK","3 - 2","7750","Jakob Kehlet","","2024/2025","FCK","5108.32142857143","A","6456.8125","3","2","3"
"24","2025-04-06","VFF - SJF","2 - 1","6265","Sandi Putros","","2024/2025","SJF","3854.41666666667","C","6456.8125","2","1","3"
"25","2025-04-13","VFF - SIF","2 - 1","6002","Mikkel Redder","","2024/2025","SIF","3875.15384615385","B","6456.8125","2","1","2"
"27","2025-04-21","VFF - LBK","1 - 1","5536","Mads Kristoffersen","","2024/2025","LBK","2988.52941176471","D","6456.8125","1","1","2"
"30","2025-05-11","VFF - AaB","3 - 1","5678","Jonas Hansen","","2024/2025","AaB","4740.37931034483","A","6456.8125","3","1","1"
"31","2025-05-18","VFF - VB","0 - 1","6136","Aydin Uslu","","2024/2025","VB","3865.8","B","6456.8125","0","1","3"
"1","2025-07-18","VFF - FCK","2 - 3","6696","Sandi Putros","","2025/2026","FCK","5108.32142857143","A","6049.33333333333","2","3","0"
"4","2025-08-08","VFF - SJF","1 - 0","5622","Mads Kristoffersen","","2025/2026","SJF","3854.41666666667","C","6049.33333333333","1","0","2"
"5","2025-08-17","VFF - SIF","2 - 3","6387","Jacob Karlsen","","2025/2026","SIF","3875.15384615385","B","6049.33333333333","2","3","1"
"8","2025-09-14","VFF - AGF","1 - 2","7655","Svend Funder","","2025/2026","AGF","4917.59375","A","6049.33333333333","1","2","2"
"10","2025-09-28","VFF - FCF","2 - 1","5330","Jakob Kehlet","","2025/2026","FCF","5330","A","6049.33333333333","2","1","1"
"12","2025-10-19","VFF - OB","1 - 2","5560","Sandi Putros","","2025/2026","OB","3524.21739130435","C","6049.33333333333","1","2","2"
"14","2025-11-02","VFF - RFC","3 - 2","5028","Jakob Kehlet","","2025/2026","RFC","5100.875","A","6049.33333333333","3","2","1"
"16","2025-11-23","VFF - VB","5 - 2","4467","Svend Funder","","2025/2026","VB","3865.8","B","6049.33333333333","5","2","3"
"18","2025-12-07","VFF - FCM","3 - 3","7699","Michael Tykgaard","","2025/2026","FCM","5296.05263157895","A","6049.33333333333","3","3","5"
"20","2026-02-15","VFF - BIF","",NA,"","","2025/2026","BIF","6615.14285714286","A","6049.33333333333",NA,NA,"3"
"22","2026-03-01","VFF - FCN","",NA,"","","2025/2026","FCN","4216.44444444444","B","6049.33333333333",NA,NA,NA
