rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
6,1995-08-27,VFF - AGF,1-1,3319,Finn Lambek,1995/1996,AGF,4917.59375,A,2689,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
8,1995-09-10,VFF - HER,2-1,1396,Knud Erik Fisker,1995/1996,HER,2186.75,D,2689,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
10,1995-09-20,VFF - IFS,3-1,1732,JÃ¸rn West Larsen,1995/1996,IFS,3177,C,2689,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
11,1995-09-22,VFF - BIF,2-2,3942,Finn Lambek,1995/1996,BIF,6615.142857142857,A,2689,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
13,1995-10-06,VFF - AaB,4-0,4923,Steen Pedersen,1995/1996,AaB,4740.379310344828,A,2689,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
15,1995-10-22,VFF - FCK,2-2,2736,Knud Stadsgaard,1995/1996,FCK,5108.321428571429,A,2689,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
18,1995-11-12,VFF - NBK,4-0,1572,JÃ¸rn West Larsen,1995/1996,NBK,1961.3333333333333,D,2689,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NBK,Næstved BK,Næstved Boldklub,Næstved Stadion,MTM Service Park),10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
20,1995-11-26,VFF - SIF,0-3,2852,Claus Bo Larsen,1995/1996,SIF,3875.1538461538466,B,2689,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
23,1996-04-04,VFF - LBK,0-2,1528,Anders Mosegaard,1995/1996,LBK,2988.5294117647054,D,2689,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
24,1996-04-08,VFF - OB,2-1,1887,JÃ¸rn West Larsen,1995/1996,OB,3524.217391304348,C,2689,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
