rnd,dato,kamp,res,tilskuere,dommer,season,modstander,mean_tilskuere,kategori,mean_tilskuere_saeson,vff_mal,modstander_mal,vff_mal_kampen_foer,saeson,runde,tilskuere_1,ar,hold,d10_tilskuere,d7_tilskuere,d3_tilskuere,kort,langt,navn,stadion,sponsor_stadion_navn,tilskuere_2,rnd_1,dato_1,kamp_1,hjemme,ude,res_1,tilskuere_3,dommer_1,dato_num,dag,maned,ar_start,ar_slut,ar_1,match_date,saeson_1,kickoff,holiday_name,is_holiday,weekday_num,dagstype,kickoff_hour,kamp_tid,regn_1h_for,regn_dag,temp_kamp,vind_1h,vindstod_1h,skydaekke_kamp,regn_1h_kat,regn_dag_kat,temp_kamp_kat,vind_1h_kat,vindstod_1h_kat,skydaekke_kamp_kat,dato_index,vff_maal_from_res,modstander_maal_from_res
9,1998-09-27,VFF - AaB,1-2,4628,Knud Erik Fisker,1998/1999,AaB,4740.379310344828,A,2543.375,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
12,1998-10-25,VFF - AHF,2-4,1708,JÃ¸rn West Larsen,1998/1999,AHF,1708,D,2543.375,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,AHF,Aarhus Fremad,Aarhus Fremad,Riisvangen Stadion,Riisvangen Stadion,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4
14,1998-11-08,VFF - VB,0-1,1302,Kim Milton Nielsen,1998/1999,VB,3865.8,B,2543.375,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
17,1998-11-29,VFF - SIF,3-3,890,Claus Bo Larsen,1998/1999,SIF,3875.1538461538466,B,2543.375,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
18,1999-03-14,VFF - HER,1-0,998,Jan Hald,1998/1999,HER,2186.75,D,2543.375,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
20,1999-04-01,VFF - B93,5-1,1288,Steen Pedersen,1998/1999,B93,1333,D,2543.375,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
23,1999-04-18,VFF - FCK,1-0,4818,Finn Lambek,1998/1999,FCK,5108.321428571429,A,2543.375,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
25,1999-05-02,VFF - BIF,2-0,4898,Claus Bo Larsen,1998/1999,BIF,6615.142857142857,A,2543.375,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
27,1999-05-09,VFF - AB,1-0,1618,Knud Stadsgaard,1998/1999,AB,2281.75,D,2543.375,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
28,1999-05-16,VFF - LBK,5-2,1618,Steen Knudsen,1998/1999,LBK,2988.5294117647054,D,2543.375,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2
30,1999-05-24,VFF - AaB,0-0,7678,Jan Hald,1998/1999,AaB,4740.379310344828,A,2543.375,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
32,1999-06-13,VFF - AGF,3-1,1928,JÃ¸rn West Larsen,1998/1999,AGF,4917.59375,A,2543.375,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
1,1999-07-25,VFF - FCK,2-1,2168,Finn Lambek,1999/2000,FCK,5108.321428571429,A,2796.5,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
3,1999-08-08,VFF - AGF,1-1,1839,Anders Mosegaard,1999/2000,AGF,4917.59375,A,2796.5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
5,1999-08-22,VFF - LBK,2-0,1568,Knud Stadsgaard,1999/2000,LBK,2988.5294117647054,D,2796.5,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
7,1999-09-12,VFF - BIF,2-0,4718,JÃ¸rn West Larsen,1999/2000,BIF,6615.142857142857,A,2796.5,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
9,1999-09-26,VFF - AB,1-3,4832,Tonny K. Poulsen,1999/2000,AB,2281.75,D,2796.5,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
12,1999-10-13,VFF - LBK,0-2,1998,Knud Erik Fisker,1999/2000,LBK,2988.5294117647054,D,2796.5,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
14,1999-10-24,VFF - AGF,1-1,2248,Kim Milton Nielsen,1999/2000,AGF,4917.59375,A,2796.5,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
17,1999-11-21,VFF - AB,2-1,1728,Johnny RÃ¸n,1999/2000,AB,2281.75,D,2796.5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
19,2000-03-12,VFF - SIF,1-1,2848,Kim Milton Nielsen,1999/2000,SIF,3875.1538461538466,B,2796.5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
21,2000-03-26,VFF - EFB,2-3,1850,Anders Mosegaard,1999/2000,EFB,3417.842105263158,C,2796.5,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
23,2000-04-09,VFF - BIF,2-2,4349,Anders Mosegaard,1999/2000,BIF,6615.142857142857,A,2796.5,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
25,2000-04-20,VFF - HER,1-0,2858,Claus Bo Larsen,1999/2000,HER,2186.75,D,2796.5,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
27,2000-04-30,VFF - OB,2-4,2808,Steen Knudsen,1999/2000,OB,3524.217391304348,C,2796.5,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4
29,2000-05-10,VFF - FCK,1-1,2198,Tonny K. Poulsen,1999/2000,FCK,5108.321428571429,A,2796.5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
31,2000-05-21,VFF - AaB,7-2,4348,Kim Milton Nielsen,1999/2000,AaB,4740.379310344828,A,2796.5,7,2,1,NA,NA,NA,NA,NA,NA,NA,NA,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2
32,2000-05-25,VFF - VB,3-0,2386,Johnny RÃ¸n,1999/2000,VB,3865.8,B,2796.5,3,0,7,NA,NA,NA,NA,NA,NA,NA,NA,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
2,2000-07-30,VFF - AB,1-1,2089,Anders Mosegaard,2000/2001,AB,2281.75,D,2514.235294117647,1,1,3,2000/2001,2,2089,2000,VFF- AB,1087,1282,1898,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
4,2000-08-13,VFF - FCK,0-0,3198,Tonny K. Poulsen,2000/2001,FCK,5108.321428571429,A,2514.235294117647,0,0,1,2000/2001,4,3198,2000,VFF-FCK,1346,2147,2735,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
5,2000-08-20,VFF - SJF,2-1,2378,Michael Svendsen,2000/2001,SJF,3854.4166666666665,C,2514.235294117647,2,1,0,2000/2001,5,2378,2000,VFF-SJF,1114,1607,2166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
8,2000-09-10,VFF - FCM,0-0,3878,Knud Erik Fisker,2000/2001,FCM,5296.0526315789475,A,2514.235294117647,0,0,2,2000/2001,8,3878,2000,VFF-FCM,1871,2517,3278,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
9,2000-09-17,VFF - SIF,1-1,2017,Steen Knudsen,2000/2001,SIF,3875.1538461538466,B,2514.235294117647,1,1,0,2000/2001,9,2017,2000,VFF-SIF,949,1103,1769,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
11,2000-10-01,VFF - AGF,2-0,2308,Kim Milton Nielsen,2000/2001,AGF,4917.59375,A,2514.235294117647,2,0,1,2000/2001,11,2308,2000,VFF-AGF,1026,1451,1994,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
13,2000-10-22,VFF - AaB,1-2,4132,Claus Bo Larsen,2000/2001,AaB,4740.379310344828,A,2514.235294117647,1,2,2,2000/2001,13,4132,2000,VFF-AaB,2181,2810,3992,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
15,2000-11-05,VFF - FCK,2-1,2308,Claus Bo Larsen,2000/2001,FCK,5108.321428571429,A,2514.235294117647,2,1,1,2000/2001,15,2308,2000,VFF-FCK,1027,1543,2049,FCK,FC København,Football Club København,Parken,Parken,38065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1
17,2000-11-19,VFF - AGF,4-2,2308,Knud Stadsgaard,2000/2001,AGF,4917.59375,A,2514.235294117647,4,2,2,2000/2001,17,2308,2000,VFF-AGF,1278,1437,1882,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2
19,2001-03-11,VFF - HER,3-0,2134,Tonny K. Poulsen,2000/2001,HER,2186.75,D,2514.235294117647,3,0,4,2000/2001,19,2134,2001,VFF-HER,953,1084,1784,HER,Herfølge BK,Herfølge Boldklub,Herfølge Stadion,Herfølge Stadion,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
20,2001-03-18,VFF - BIF,1-3,4052,Steen Pedersen,2000/2001,BIF,6615.142857142857,A,2514.235294117647,1,3,3,2000/2001,20,4052,2001,VFF-BIF,2095,2570,3522,BIF,Brøndby IF,Brøndbyernes Idrætsforening,Brøndby Stadion,Vilfort Park,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3
22,2001-04-08,VFF - AB,0-0,1617,JÃ¸rn West Larsen,2000/2001,AB,2281.75,D,2514.235294117647,0,0,1,2000/2001,22,1617,2001,VFF- AB,918,1063,1280,AB,AB,Akademisk Boldklub Gladsaxe,Gladsaxe Stadion,Gladsaxe Stadion,13507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
24,2001-04-16,VFF - FCM,1-2,2453,Claus Bo Larsen,2000/2001,FCM,5296.0526315789475,A,2514.235294117647,1,2,0,2000/2001,24,2453,2001,VFF-FCM,928,1554,1951,FCM,FC Midtjylland,Football Club Midtjylland,MCH Arena,MCH Arena,12148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
26,2001-04-29,VFF - LBK,3-0,1995,Claus Bo Larsen,2000/2001,LBK,2988.5294117647054,D,2514.235294117647,3,0,1,2000/2001,26,1995,2001,VFF-LBK,869,1274,1633,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
28,2001-05-13,VFF - OB,1-1,1445,Knud Erik Fisker,2000/2001,OB,3524.217391304348,C,2514.235294117647,1,1,3,2000/2001,28,1445,2001,VFF- OB,640,941,1220,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
30,2001-05-20,VFF - SJF,3-1,1418,Johnny RÃ¸n,2000/2001,SJF,3854.4166666666665,C,2514.235294117647,3,1,1,2000/2001,30,1418,2001,VFF-SJF,684,869,1274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
32,2001-06-10,VFF - SIF,2-4,3012,Jan Hald,2000/2001,SIF,3875.1538461538466,B,2514.235294117647,2,4,3,2000/2001,32,3012,2001,VFF-SIF,1311,2082,2552,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4
3,2001-08-05,VFF - AGF,0-0,2142,Jan Hald,2001/2002,AGF,4917.59375,A,2409.9411764705883,0,0,2,2001/2002,3,2142,2001,VFF-AGF,671,1398,1846,AGF,AGF,Aarhus Gymnastikforening,Vejlby Stadium,Vejlby Stadium,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
5,2001-08-19,VFF - VB,1-2,1739,RenÃ© Christensen,2001/2002,VB,3865.8,B,2409.9411764705883,1,2,0,2001/2002,5,1739,2001,VFF- VB,564,999,1485,VB,Vejle B,Vejle Boldklub,Vejle Stadion,Vejle Stadion,11060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
7,2001-09-09,VFF - SIF,2-0,1871,Steen Pedersen,2001/2002,SIF,3875.1538461538466,B,2409.9411764705883,2,0,1,2001/2002,7,1871,2001,VFF-SIF,969,1299,1557,SIF,Silkeborg IF,Silkeborg Idrætsforening,JYSK Park,JYSK Park,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
8,2001-09-16,VFF - EFB,0-2,1992,Claus Bo Larsen,2001/2002,EFB,3417.842105263158,C,2409.9411764705883,0,2,2,2001/2002,8,1992,2001,VFF-EFB,865,1367,1798,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2
10,2001-09-30,VFF - AaB,2-3,2164,Michael Svendsen,2001/2002,AaB,4740.379310344828,A,2409.9411764705883,2,3,0,2001/2002,10,2164,2001,VFF-AaB,775,1448,1773,AaB,AaB,Aalborg Boldspilklub af 1885,Aalborg Stadion,Aalborg Portland Park,13600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
11,2001-10-10,VFF - OB,2-2,1105,Knud Stadsgaard,2001/2002,OB,3524.217391304348,C,2409.9411764705883,2,2,2,2001/2002,11,1105,2001,VFF- OB,487,614,938,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2
13,2001-10-21,VFF - EFB,0-1,1730,Tonny K. Poulsen,2001/2002,EFB,3417.842105263158,C,2409.9411764705883,0,1,2,2001/2002,13,1730,2001,VFF-EFB,886,1047,1461,EFB,Esbjerg fB,Esbjerg forenede Boldklubber,Esbjerg Stadion ,Blue Water Arena,17442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
15,2001-11-04,VFF - LBK,1-1,1074,Johnny RÃ¸n,2001/2002,LBK,2988.5294117647054,D,2409.9411764705883,1,1,0,2001/2002,15,1074,2001,VFF-LBK,588,709,939,LBK,Lyngby BK,Lyngby Boldklub af 1921,Lyngby Stadion,Lyngby Stadion,10100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
17,2001-11-25,VFF - OB,1-1,1344,Emil Laursen,2001/2002,OB,3524.217391304348,C,2409.9411764705883,1,1,1,2001/2002,17,1344,2001,VFF- OB,575,851,1224,OB,Odense Boldklub,Odense Boldklub,Odense Stadion,Nature Energy Park,15790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
